SSID,HealthStatus,BodyRadius_mm,ArmLength_mm,BodyMass_g,PC,PS,TF,D
1,Unknown,87,63,169.4,110.0328885,,,
2,Diseased,66,46,86.6,86.05002974,,,
3,Unknown,95,61,227,54.83703057,19.21991381,,
4,Unknown,68,50,85.6,108.7577865,,,
5,Unknown,63,44,115,45.67800287,,,
6,Diseased,51,37,49.2,109.4191527,9.678591215,,
7,Diseased,94,72,188.2,35.34875823,3.818557381,,
8,Diseased,82,58,151.4,30.84427946,0.839311435,,
9,Diseased,50,32,20.8,413.9115035,,,
10,Unknown,57,42,56,54.93749469,10.67878709,,
11,Healthy,39,28,19.8,1033.52731,138.7681128,20.77838847,55.58986388
12,Unknown,39,28,16.2,194.5857993,,,
13,Unknown,,,7.2,,,,
14,Unknown,46,32,23.8,625.2951052,246.581937,0,82.13398734
15,Unknown,28,21,8.8,160.8278878,,,
16,Healthy,40,31,22.2,107.499723,,,
17,Diseased,68,40,102,123.5365536,,,
18,Healthy,52,40,45.8,545.6076557,32.9109534,49.5384468,59.0312131
19,Diseased,49,38,25.2,353.9899379,42.95249793,46.82913281,131.4532314
20,Healthy,42,30,25.6,184.076826,,,
21,Healthy,79,58,127,15.00927322,12.59205763,,
22,Healthy,76,55,123.8,204.909645,,,
23,Healthy,88,57,255,36.10768107,68.13192866,,
24,Healthy,60,39,66.4,262.9552844,,,
25,Unknown,37,24,23.2,613.8598564,184.5811529,65.57603745,162.4279161
26,Healthy,32,26,17.4,268.1795949,,,
27,Healthy,41,30,31.2,99.74610645,,,
28,Healthy,45,32,21.4,513.5359172,280.3138266,101.6690464,114.4583116
29,Unknown,35,23,15,462.5122598,,,
30,Unknown,17,12,2.4,,,,
